timestamp,src_ip,dst_ip,protocol,packet_size,flags,inter_arrival_time,Label
1175568000,192.168.1.100,10.0.0.1,TCP,1200,SYN,0.05,Normal
1175568001,192.168.1.101,10.0.0.1,TCP,1150,ACK,0.048,Normal
1175568002,192.168.1.102,10.0.0.1,HTTP,850,PSH,0.12,Normal
1175568003,192.168.1.103,10.0.0.1,UDP,64,NONE,0.001,Attack
1175568004,192.168.1.104,10.0.0.1,UDP,64,NONE,0.001,Attack
1175568005,192.168.1.105,10.0.0.1,UDP,64,NONE,0.001,Attack
1175568006,192.168.1.106,10.0.0.1,TCP,1300,SYN,0.06,Normal
1175568007,192.168.1.107,10.0.0.1,UDP,64,NONE,0.001,Attack
1175568008,192.168.1.108,10.0.0.1,HTTP,920,PSH,0.09,Normal
1175568009,192.168.1.109,10.0.0.1,UDP,64,NONE,0.001,Attack
