Source_IP,timingCV,uaEntropy,pathDiversity,headerCount,hasAcceptLanguage,methodVariety,requestSize,Label
192.168.1.1,1.3929,0.7479,0.6577,13,1,0.9623,0.9076,Benign
192.168.1.2,0.9164,0.9049,0.6020,11,1,0.6206,0.9788,Benign
192.168.1.3,0.6106,0.8542,0.7537,11,1,0.8045,0.7492,Benign
192.168.1.4,1.0468,0.8749,0.6940,17,1,0.4228,0.6128,Benign
192.168.1.5,1.1653,0.9633,0.4616,11,1,0.9819,0.9967,Benign
192.168.1.6,1.0716,0.9431,0.5290,16,1,0.8390,0.6786,Benign
192.168.1.7,0.8572,0.7733,0.9296,12,1,0.4802,0.9194,Benign
192.168.1.8,0.8182,0.9254,0.5596,16,1,0.5398,0.7998,Benign
192.168.1.9,0.8774,0.9199,0.5573,12,1,0.8661,0.5911,Benign
192.168.1.10,1.0949,0.7870,0.4612,8,1,0.4009,0.7333,Benign
192.168.1.11,1.3369,0.7456,0.5670,12,1,0.8994,0.6990,Benign
192.168.1.12,1.0726,0.9825,0.8606,16,1,0.8335,0.7491,Benign
192.168.1.13,1.2243,0.9885,0.5288,15,1,0.5285,0.7149,Benign
192.168.1.14,0.7413,0.7007,0.8985,9,1,0.9077,0.7487,Benign
192.168.1.15,1.0794,0.7818,0.9908,10,0,0.9403,0.8181,Benign
192.168.1.16,0.9104,0.9707,0.9668,15,1,0.5932,0.5349,Benign
192.168.1.17,1.2169,0.8626,0.7776,9,1,0.8178,0.9685,Benign
192.168.1.18,0.6226,0.9504,0.6852,19,1,0.6087,0.6425,Benign
192.168.1.19,0.6143,0.9289,0.6309,15,1,0.7888,0.5375,Benign
192.168.1.20,1.1541,0.8854,0.8890,13,1,0.8632,0.5902,Benign
192.168.1.21,1.3218,0.7084,0.4828,14,0,0.9331,0.5308,Benign
192.168.1.22,0.7273,0.7414,0.7694,12,1,0.9877,0.6980,Benign
192.168.1.23,0.6705,0.7770,0.8183,8,1,0.8145,0.7298,Benign
192.168.1.24,1.3945,0.9994,0.5180,14,1,0.8900,0.8192,Benign
192.168.1.25,0.6425,0.8047,0.7118,17,1,0.6779,0.8762,Benign
192.168.1.26,0.6368,0.9004,0.6786,16,1,0.4385,0.5704,Benign
192.168.1.27,1.1808,0.7725,0.8064,8,1,0.5117,0.7856,Benign
192.168.1.28,1.3564,0.8604,0.7118,8,1,0.6934,0.5112,Benign
192.168.1.29,1.1174,0.9849,0.4013,15,1,0.5384,0.5832,Benign
192.168.1.30,0.9220,0.8507,0.5401,16,0,0.5910,0.8696,Benign
192.168.1.31,1.3406,0.9894,0.6161,16,1,0.8520,0.5093,Benign
192.168.1.32,0.6171,0.8775,0.7928,13,1,0.7122,0.6202,Benign
192.168.1.33,1.0764,0.9151,0.5787,18,1,0.8259,0.5054,Benign
192.168.1.34,0.7135,0.9575,0.9455,12,1,0.8987,0.7416,Benign
192.168.1.35,0.8188,0.7168,0.4713,8,1,0.6806,0.7587,Benign
192.168.1.36,1.2345,0.9841,0.6269,10,1,0.4301,0.9458,Benign
192.168.1.37,1.0678,0.8000,0.5278,8,1,0.6246,0.5154,Benign
192.168.1.38,0.8369,0.7548,0.4020,18,1,0.6534,0.5782,Benign
192.168.1.39,1.0230,0.8381,0.9810,10,1,0.5596,0.6092,Benign
192.168.1.40,0.7559,0.7437,0.5341,17,1,0.5080,0.8216,Benign
192.168.1.41,0.9590,0.9792,0.6979,16,0,0.5916,0.9539,Benign
192.168.1.42,0.9150,0.8488,0.7522,10,1,0.8547,0.9377,Benign
192.168.1.43,1.0544,0.9472,0.4354,18,1,0.9261,0.6695,Benign
192.168.1.44,1.1885,0.7433,0.4557,9,1,0.4761,0.9291,Benign
192.168.1.45,0.9118,0.9362,0.7870,13,1,0.6134,0.8669,Benign
192.168.1.46,0.6105,0.8188,0.5544,13,1,0.9146,0.6484,Benign
192.168.1.47,1.1323,0.8270,0.7245,10,0,0.8049,0.9029,Benign
192.168.1.48,1.3124,0.7516,0.5499,15,1,0.9075,0.5667,Benign
192.168.1.49,0.7805,0.7806,0.4760,18,1,0.6538,0.5203,Benign
192.168.1.50,1.3370,0.9020,0.6960,17,1,0.8302,0.9217,Benign
192.168.1.51,0.9596,0.8287,0.9072,9,1,0.6401,0.6706,Benign
192.168.1.52,1.2143,0.9807,0.7336,18,1,0.8540,0.6824,Benign
192.168.1.53,0.8424,0.9168,0.9327,16,1,0.5092,0.9762,Benign
192.168.1.54,0.7053,0.7599,0.6411,15,1,0.4779,0.7101,Benign
192.168.1.55,1.3677,0.7377,0.8801,10,1,0.9234,0.8900,Benign
192.168.1.56,0.7718,0.7648,0.9798,11,1,0.6828,0.8721,Benign
192.168.1.57,0.8471,0.8016,0.5117,8,1,0.7414,0.5102,Benign
192.168.1.58,0.6020,0.7702,0.7084,9,1,0.9687,0.8637,Benign
192.168.1.59,1.0063,0.7839,0.9820,12,1,0.6390,0.5930,Benign
192.168.1.60,0.6139,0.9934,0.4001,11,1,0.6147,0.8448,Benign
192.168.1.61,1.1140,0.9228,0.6492,8,1,0.6653,0.9189,Benign
192.168.1.62,1.1013,0.9294,0.6855,15,1,0.6961,0.6054,Benign
192.168.1.63,0.6483,0.7005,0.5390,12,0,0.6510,0.7457,Benign
192.168.1.64,0.9197,0.9048,0.8136,9,1,0.6866,0.9438,Benign
192.168.1.65,0.7033,0.7838,0.6960,11,0,0.5151,0.8192,Benign
192.168.1.66,1.3150,0.9436,0.9516,15,1,0.7955,0.5597,Benign
192.168.1.67,1.3015,0.9605,0.6612,10,1,0.4031,0.5299,Benign
192.168.1.68,0.7424,0.8190,0.9930,17,0,0.6458,0.8419,Benign
192.168.1.69,1.1313,0.9456,0.4677,10,1,0.7314,0.5557,Benign
192.168.1.70,0.7963,0.7995,0.9694,19,1,0.4434,0.5945,Benign
192.168.1.71,1.1037,0.7270,0.8929,19,1,0.7386,0.6037,Benign
192.168.1.72,0.9067,0.8378,0.8132,19,1,0.9036,0.5366,Benign
192.168.1.73,0.9845,0.9457,0.8547,8,1,0.7284,0.5599,Benign
192.168.1.74,0.9221,0.9988,0.8696,12,1,0.5247,0.5300,Benign
192.168.1.75,1.2080,0.7790,0.9530,16,1,0.6359,0.9387,Benign
192.168.1.76,1.0193,0.9027,0.5495,9,1,0.9408,0.7251,Benign
192.168.1.77,0.8373,0.7783,0.5475,16,1,0.5150,0.5666,Benign
192.168.1.78,0.7916,0.8937,0.6167,16,1,0.8002,0.6699,Benign
192.168.1.79,0.7076,0.9192,0.7134,13,1,0.7294,0.6241,Benign
192.168.1.80,1.3752,0.9779,0.6795,14,1,0.4456,0.6734,Benign
192.168.1.81,0.7486,0.7261,0.9675,13,1,0.6992,0.8646,Benign
192.168.1.82,0.7540,0.8960,0.6105,12,1,0.6474,0.8800,Benign
192.168.1.83,1.2354,0.7234,0.8347,9,1,0.9627,0.9175,Benign
192.168.1.84,1.3011,0.8714,0.4267,11,1,0.5224,0.6950,Benign
192.168.1.85,0.8154,0.9855,0.6957,15,1,0.8763,0.9035,Benign
192.168.1.86,1.3645,0.7143,0.8948,11,1,0.4759,0.9020,Benign
192.168.1.87,1.1551,0.7444,0.9759,13,1,0.6604,0.7106,Benign
192.168.1.88,1.1015,0.7032,0.7802,17,1,0.6051,0.7421,Benign
