srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,attack_cat,label
192.168.1.10,49152,10.0.0.1,80,tcp,FIN,2.5,1500,3000,64,64,0,0,http,600,1200,10,15,Normal,0
192.168.1.11,49153,10.0.0.1,443,tcp,FIN,3.2,2200,4500,64,64,0,0,https,687,1406,15,22,Normal,0
192.168.1.12,49154,10.0.0.1,80,tcp,INT,0.1,500,100,64,64,0,0,http,5000,1000,50,10,DoS,1
192.168.1.13,49155,10.0.0.1,80,tcp,INT,0.05,300,50,64,64,0,0,http,6000,1000,60,5,DDoS,1
192.168.1.14,49156,10.0.0.1,22,tcp,FIN,1.8,800,1200,64,64,0,0,ssh,444,666,8,12,Normal,0
192.168.1.15,49157,10.0.0.1,80,tcp,INT,0.08,400,80,64,64,0,0,http,5000,1000,55,8,DDoS,1
192.168.1.16,49158,10.0.0.1,443,tcp,FIN,2.9,1800,3500,64,64,0,0,https,620,1206,12,18,Normal,0
192.168.1.17,49159,10.0.0.1,80,tcp,INT,0.12,600,120,64,64,0,0,http,5000,1000,48,12,DoS,1
192.168.1.18,49160,10.0.0.1,53,udp,CON,0.5,200,400,64,64,0,0,dns,400,800,5,8,Normal,0
192.168.1.19,49161,10.0.0.1,80,tcp,INT,0.09,350,70,64,64,0,0,http,3888,777,45,7,DDoS,1
